WeatherPy_vacation_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Waingapu,ID,80.53,light rain,-9.6567,120.2641,Pondok Wisata Elim
192,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Casa Tia Villa
203,Butaritari,KI,81.21,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
207,Inhambane,MZ,80.56,scattered clouds,-23.865,35.3833,Oceano
212,Kailua,US,84.2,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
223,Cap Malheureux,MU,80.01,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
226,Cayenne,GF,78.8,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
231,Coahuayana,MX,84.2,broken clouds,18.7333,-103.6833,Hotel Los Arcos
232,Boca Do Acre,BR,78.62,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
237,Sawtell,AU,75.2,clear sky,-30.3833,153.1,Island Beach House Sawtell
238,Altamira,BR,77.25,overcast clouds,-3.2033,-52.2064,Requinte Hotel
240,Geraldton,AU,80.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
242,Anloga,GH,80.6,few clouds,5.7947,0.8973,Pin Drop Hotel
264,Isangel,VU,84.2,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
267,Cabinda,AO,78.24,broken clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
268,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
272,Moindou,NC,84.2,broken clouds,-21.6924,165.67700000000002,Gite de la RYAWA
280,Eydhafushi,MV,80.78,broken clouds,5.1033,73.0708,Soneva Fushi
284,Boa Vista,BR,84.2,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
285,Port Hedland,AU,87.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
287,Acapulco,MX,80.6,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
289,Omboue,GA,77.0,light rain,-1.5746,9.2618,Hotel Olako
293,Puerto Ayacucho,VE,80.6,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
294,Mogadishu,SO,76.5,clear sky,2.0371,45.3438,Hotel Juba
295,Nova Olimpia,BR,78.89,moderate rain,-14.7972,-57.2881,Motel glamour
300,Cabo San Lucas,MX,79.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
301,Pizarro,CO,76.91,light rain,4.9533,-77.366,Hotel Limonar
306,Puerto Carreno,CO,83.23,broken clouds,6.189,-67.4859,Casa Hotel Victoria
307,Aborlan,PH,77.0,moderate rain,9.4352,118.5492,Kevina Transient House
315,Gualeguay,AR,81.21,broken clouds,-33.1416,-59.3097,Cabañas Nuestro Refugio
316,Saint-Leu,RE,78.8,clear sky,-21.15,55.2833,La Caz Oceane
317,Pundaguitan,PH,82.22,light rain,6.3711,126.1689,Leonardo Family Beach House 1
318,Gizo,SB,84.24,light rain,-8.103,156.8419,Imagination Island
322,Saint-Georges,GD,80.6,scattered clouds,12.0564,-61.7485,Siesta Hotel
323,Pontes E Lacerda,BR,76.57,moderate rain,-15.2261,-59.3353,Hotel Bressan
328,Kinablangan,PH,78.94,overcast clouds,7.6947,126.5503,Danny Moreno Property
